GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,GEOID,NAME_E,totPop,nonhisp_total,nonhisp_white,nonhisp_black,nonhisp_native,nonhisp_asian,nonhisp_islander,nonhisp_other,nonhisp_multiracial,AMP3E010,AMP3E011,hisp_total,hisp_white,hisp_black,hisp_native,hisp_asian,hisp_islander,hisp_other,hisp_multiracial,AMP3E020,AMP3E021,median_household_income
G1200010000201,2016-2020,FL,Florida,12,Alachua County,001,000201,NA,14000US12001000201,"Census Tract 2.01, Alachua County, Florida",3748,2990,2161,468,0,325,17,0,19,0,19,758,273,6,0,0,0,24,455,168,287,NA
G1200010000202,2016-2020,FL,Florida,12,Alachua County,001,000202,NA,14000US12001000202,"Census Tract 2.02, Alachua County, Florida",3954,3308,2756,359,0,164,0,0,29,1,28,646,499,0,0,0,0,9,138,73,65,11477
G1200010000301,2016-2020,FL,Florida,12,Alachua County,001,000301,NA,14000US12001000301,"Census Tract 3.01, Alachua County, Florida",4308,4041,2370,1419,13,110,0,0,129,0,129,267,111,0,0,0,0,49,107,65,42,36271
G1200010000302,2016-2020,FL,Florida,12,Alachua County,001,000302,NA,14000US12001000302,"Census Tract 3.02, Alachua County, Florida",2167,1759,1225,479,4,4,0,8,39,0,39,408,214,110,0,0,0,45,39,28,11,36367
G1200010000400,2016-2020,FL,Florida,12,Alachua County,001,000400,NA,14000US12001000400,"Census Tract 4, Alachua County, Florida",5866,5367,2308,2195,37,220,8,88,511,0,511,499,312,0,15,0,0,0,172,52,120,41402
G1200010000500,2016-2020,FL,Florida,12,Alachua County,001,000500,NA,14000US12001000500,"Census Tract 5, Alachua County, Florida",4640,4283,3494,627,0,93,0,0,69,0,69,357,283,0,0,0,0,74,0,0,0,50069
G1200010000600,2016-2020,FL,Florida,12,Alachua County,001,000600,NA,14000US12001000600,"Census Tract 6, Alachua County, Florida",5343,5267,239,4901,0,7,0,0,120,0,120,76,23,0,0,0,0,0,53,1,52,23682
G1200010000700,2016-2020,FL,Florida,12,Alachua County,001,000700,NA,14000US12001000700,"Census Tract 7, Alachua County, Florida",6854,6385,2090,4240,0,0,0,37,18,0,18,469,250,0,0,0,0,219,0,0,0,37293
G1200010000806,2016-2020,FL,Florida,12,Alachua County,001,000806,NA,14000US12001000806,"Census Tract 8.06, Alachua County, Florida",2815,2542,1615,115,0,656,0,45,111,0,111,273,188,0,0,0,0,29,56,26,30,22198
G1200010000808,2016-2020,FL,Florida,12,Alachua County,001,000808,NA,14000US12001000808,"Census Tract 8.08, Alachua County, Florida",3224,2614,1332,940,31,213,0,15,83,0,83,610,343,123,0,0,0,13,131,11,120,35417
G1200010000809,2016-2020,FL,Florida,12,Alachua County,001,000809,NA,14000US12001000809,"Census Tract 8.09, Alachua County, Florida",1123,1024,703,137,13,114,0,0,57,0,57,99,55,0,0,8,0,27,9,9,0,32411
G1200010000901,2016-2020,FL,Florida,12,Alachua County,001,000901,NA,14000US12001000901,"Census Tract 9.01, Alachua County, Florida",3602,3039,1994,343,9,583,3,22,85,0,85,563,420,0,0,0,0,8,135,115,20,23397
G1200010000902,2016-2020,FL,Florida,12,Alachua County,001,000902,NA,14000US12001000902,"Census Tract 9.02, Alachua County, Florida",6681,5495,4022,685,0,516,5,0,267,0,267,1186,970,12,0,0,0,35,169,164,5,2499
G1200010001000,2016-2020,FL,Florida,12,Alachua County,001,001000,NA,14000US12001001000,"Census Tract 10, Alachua County, Florida",6579,5810,5353,105,10,75,14,0,253,0,253,769,541,16,57,16,0,39,100,100,0,37414
G1200010001100,2016-2020,FL,Florida,12,Alachua County,001,001100,NA,14000US12001001100,"Census Tract 11, Alachua County, Florida",6489,6026,4936,408,0,266,0,0,416,322,94,463,342,19,0,0,0,0,102,56,46,88185
G1200010001201,2016-2020,FL,Florida,12,Alachua County,001,001201,NA,14000US12001001201,"Census Tract 12.01, Alachua County, Florida",3470,3296,2486,435,0,91,0,20,264,52,212,174,123,0,7,0,0,44,0,0,0,55208
