GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,TRBL_BGA,NAME_E,AMP3E001,AMP3E002,AMP3E003,AMP3E004,AMP3E005,AMP3E006,AMP3E007,AMP3E008,AMP3E009,AMP3E010,AMP3E011,AMP3E012,AMP3E013,AMP3E014,AMP3E015,AMP3E016,AMP3E017,AMP3E018,AMP3E019,AMP3E020,AMP3E021,AMR8E001,NAME_M,AMP3M001,AMP3M002,AMP3M003,AMP3M004,AMP3M005,AMP3M006,AMP3M007,AMP3M008,AMP3M009,AMP3M010,AMP3M011,AMP3M012,AMP3M013,AMP3M014,AMP3M015,AMP3M016,AMP3M017,AMP3M018,AMP3M019,AMP3M020,AMP3M021,AMR8M001
"G0100010","2016-2020","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",55639,54038,41160,10849,155,649,0,101,1124,54,1070,1601,990,17,0,0,24,273,297,292,5,57982,"Autauga County, Alabama",,,78,345,102,174,29,145,374,57,374,,195,29,29,29,37,242,159,160,12,4839
"G0100030","2016-2020","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",218289,208342,180955,19027,1327,2033,10,740,4250,299,3951,9947,5549,126,187,0,0,2658,1427,1220,207,61756,"Baldwin County, Alabama",,,654,744,371,352,16,534,871,231,854,,845,110,184,29,29,709,493,431,203,2268
"G0100050","2016-2020","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",25026,23916,11332,11889,81,122,1,157,334,44,290,1110,255,40,7,0,0,620,188,188,0,34990,"Barbour County, Alabama",,,83,179,63,25,2,110,149,47,142,,150,33,12,23,23,183,79,79,23,2909
"G0100070","2016-2020","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",22374,21774,16650,4971,12,56,0,0,85,0,85,600,488,74,0,0,0,9,29,0,29,51721,"Bibb County, Alabama",,,23,111,25,81,23,23,67,23,67,,95,76,23,23,23,19,42,23,42,6237
"G0100090","2016-2020","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",57755,52393,50065,771,49,236,55,179,1038,107,931,5362,4206,37,6,0,0,858,255,157,98,48922,"Blount County, Alabama",,,250,167,41,41,60,225,181,95,160,,443,38,13,29,29,404,219,185,131,2269
"G0100110","2016-2020","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",10173,9349,2162,6980,0,137,0,2,68,0,68,824,501,0,0,0,0,316,7,7,0,33866,"Bullock County, Alabama",,,19,140,19,117,19,4,76,19,76,,324,19,19,19,19,324,13,13,19,10094
"G0100130","2016-2020","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",19726,19436,10125,8773,66,261,0,0,211,0,211,290,58,22,0,0,0,98,112,93,19,44850,"Butler County, Alabama",,,19,76,52,41,19,19,94,19,94,,76,37,19,19,19,104,105,112,37,2891
"G0100150","2016-2020","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",114324,109918,82049,23669,168,919,327,176,2610,63,2547,4406,1752,521,190,6,0,1695,242,199,43,50128,"Calhoun County, Alabama",,,204,380,66,186,135,209,414,74,398,,448,369,236,11,29,433,169,162,39,1964
"G0100170","2016-2020","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",33427,32584,18413,13372,81,368,9,74,267,0,267,843,602,0,0,0,0,190,51,51,0,43875,"Chambers County, Alabama",,,74,127,44,50,16,83,139,26,139,,93,26,26,26,26,119,67,67,26,3861
"G0100190","2016-2020","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",26035,25603,23779,1250,150,26,0,0,398,75,323,432,191,0,0,0,0,212,29,7,22,42509,"Cherokee County, Alabama",,,80,120,124,35,23,23,176,80,162,,123,23,23,23,23,121,39,20,38,3824
